"aoi_base"	"aoi_id"	"aoi_text"	"token_id"	"token"	"lemma"	"pos"
"clinical_001_original_1-1-"	"1"	"Cas"	"0"	"Cas"	"cas"	"NOUN"
"clinical_001_original_1-1-"	"2"	"clinique."	"1"	"clinique"	"clinique"	"DET"
"clinical_001_original_1-1-"	"2"	"clinique."	"1"	"."	"."	"PUNCT"
"clinical_001_original_1-2-"	"1"	"Un"	"2"	"Un"	"un"	"NOUN"
"clinical_001_original_1-2-"	"2"	"patient"	"3"	"patient"	"patient"	"NOUN"
"clinical_001_original_2-2-"	"3"	"âgé"	"4"	"âgé"	"âgé"	"NOUN"
"medical_002_simplified_1-1-"	"1"	"Le"	"5"	"Le"	"le"	"NOUN"
"medical_002_simplified_1-1-"	"2"	"patient"	"6"	"patient"	"patient"	"VERB"
"medical_002_simplified_1-1-"	"3"	"souffre"	"7"	"souffre"	"souffre"	"DET"
"medical_002_simplified_1-2-"	"1"	"d'orthopédie"	"8"	"d"	"d"	"VERB"
"medical_002_simplified_1-2-"	"1"	"d'orthopédie"	"8"	"'"	"'"	"PUNCT"
"medical_002_simplified_1-2-"	"1"	"d'orthopédie"	"8"	"orthopédie"	"orthopédie"	"DET"
"medical_002_simplified_1-2-"	"2"	"fracture."	"9"	"fracture"	"fracture"	"DET"
"medical_002_simplified_1-2-"	"2"	"fracture."	"9"	"."	"."	"PUNCT"
