Media	textid	text.type	text_version	screenid	Sentence_index	Word_index	word_id_screen	word_id_text	AOI_ann	AOI_length	is.in.bracket	id.phrase.in.brackets	AOI.that.in.fact.should.be	tag	tag.type	tag.id	annotated_text	flag	id.ann	id.ann.global	Sentence_id_current	Sentence_id_match	id.piece	lemma_merged	pos_merged	token_merged	token_id_merged	is.hyphenated	is.compound.hyphen	word_count_text	word_count_screen	total_word_count_text	left_dependents	right_dependents	id.global.aoi	AOI_unif_quot	filename.ann	id.line
clinical_001_original_1	1	clinical	original	1	1	1	1	1	Cas	3	False				1.0						1	1	0	cas	NOUN	Cas	0			1	1	5	0	2	clinical_001_original_1-1-1		001_tagged_finished_words_original.csv	
clinical_001_original_1	1	clinical	original	1	1	2	2	2	clinique.	8	False										1	1	1	clinique | .	DET | PUNCT	clinique | .	1			1	1	5	0	0	clinical_001_original_1-1-2		001_tagged_finished_words_original.csv	
clinical_001_original_1	1	clinical	original	1	2	1	3	3	Un	2	False										2	2	2	un	NOUN	Un	2			1	1	5	0	0	clinical_001_original_1-2-1		001_tagged_finished_words_original.csv	
clinical_001_original_1	1	clinical	original	1	2	2	4	4	patient	7	False										2	2	3	patient	NOUN	patient	3			1	1	5	1	0	clinical_001_original_1-2-2		001_tagged_finished_words_original.csv	
clinical_001_original_2	1	clinical	original	2	2	3	5	5	âgé	3	False										2	2	4	âgé	NOUN	âgé	4			1	1	5	0	0	clinical_001_original_2-2-3		001_tagged_finished_words_original.csv	
medical_002_simplified_1	2	medical	simplified	1	1	1	1	1	Le	2	False				2.0						1	1	5	le	NOUN	Le	5			1	1	5	0	0	medical_002_simplified_1-1-1		002_tagged_finished_words_simplified.csv	
medical_002_simplified_1	2	medical	simplified	1	1	2	2	2	patient	7	False										1	1	6	patient	VERB	patient	6			1	1	5	1	0	medical_002_simplified_1-1-2		002_tagged_finished_words_simplified.csv	
medical_002_simplified_1	2	medical	simplified	1	1	3	3	3	souffre	7	False				5.0						1	1	7	souffre	DET	souffre	7			1	1	5	1	0	medical_002_simplified_1-1-3		002_tagged_finished_words_simplified.csv	
medical_002_simplified_1	2	medical	simplified	1	2	1	4	4	d’orthopédie	11	False				6.0		orthopédie				2	2	8	d | ' | orthopédie	VERB | PUNCT | DET	d | ' | orthopédie	8			1	1	5	0	0	medical_002_simplified_1-2-1		002_tagged_finished_words_simplified.csv	
medical_002_simplified_1	2	medical	simplified	1	2	2	5	5	fracture.	8	False				7.0		fracture				2	2	9	fracture | .	DET | PUNCT	fracture | .	9			1	1	5	0	0	medical_002_simplified_1-2-2		002_tagged_finished_words_simplified.csv	
