Media	textid	text.type	text_version	screenid	Sentence_index	Word_index	word_id_screen	word_id_text	AOI_ann	AOI_nopunct	AOI_length	is.in.bracket	id.phrase.in.brackets	AOI.that.in.fact.should.be	tag	tag.type	tag.id	annotated_text	Sentence_id_current	Sentence_id_match	id.piece	filename.ann	id.global.aoi
clinical_001_original_1	1	clinical	original	1	1	1	1	1	Cas	Cas	3	False				1.0		NA	1	1	0	001_tagged_finished_words_original.csv	clinical_001_original_1-1-1
clinical_001_original_1	1	clinical	original	1	1	2	2	2	clinique.	clinique	8	False						NA	1	1	1	001_tagged_finished_words_original.csv	clinical_001_original_1-1-2
clinical_001_original_1	1	clinical	original	1	2	1	3	3	Un	Un	2	False						NA	2	2	2	001_tagged_finished_words_original.csv	clinical_001_original_1-2-1
clinical_001_original_1	1	clinical	original	1	2	2	4	4	patient	patient	7	False						NA	2	2	3	001_tagged_finished_words_original.csv	clinical_001_original_1-2-2
clinical_001_original_2	1	clinical	original	2	2	3	5	5	âgé	âgé	3	False						NA	2	2	4	001_tagged_finished_words_original.csv	clinical_001_original_2-2-3
medical_002_simplified_1	2	medical	simplified	1	1	1	1	1	Le	Le	2	False				2.0		NA	1	1	5	002_tagged_finished_words_simplified.csv	medical_002_simplified_1-1-1
medical_002_simplified_1	2	medical	simplified	1	1	2	2	2	patient	patient	7	False						NA	1	1	6	002_tagged_finished_words_simplified.csv	medical_002_simplified_1-1-2
medical_002_simplified_1	2	medical	simplified	1	1	3	3	3	souffre	souffre	7	False				5.0		NA	1	1	7	002_tagged_finished_words_simplified.csv	medical_002_simplified_1-1-3
medical_002_simplified_1	2	medical	simplified	1	2	1	4	4	d’orthopédie	d’orthopédie	11	False				6.0		orthopédie	2	2	8	002_tagged_finished_words_simplified.csv	medical_002_simplified_1-2-1
medical_002_simplified_1	2	medical	simplified	1	2	2	5	5	fracture.	fracture	8	False				7.0		fracture	2	2	9	002_tagged_finished_words_simplified.csv	medical_002_simplified_1-2-2
