data_source,method,mean,std,count
All,pca_live,0.6732638888888889,0.02520053636689131,5
All,select_k_best,0.6649305555555556,0.04784553395666902,5
All,rfe,0.5541666666666667,0.09507804218082261,5
All And Medical,select_k_best,0.6611111111111111,0.03074000863697622,10
All And Medical,pca_live,0.6604166666666667,0.051807396617734716,10
All And Medical,rfe,0.554861111111111,0.06146912177751337,10
All And Medical And Content,pca_live,0.6635416666666666,0.055588098107729585,5
All And Medical And Content,select_k_best,0.6409722222222223,0.03644593042998638,5
All And Medical And Content,rfe,0.5125,0.04718582645630141,5
Content,select_k_best,0.6489583333333333,0.0887405853770165,5
Content,pca_live,0.6399305555555556,0.0693966849659209,5
Content,rfe,0.5725694444444445,0.07901117771368622,5
Medical,select_k_best,0.595486111111111,0.05686923386860835,5
Medical,pca_live,0.5888888888888889,0.023498505994012,5
Medical,rfe,0.5177083333333333,0.02214477607141442,5
Medical And Content,pca_live,0.6145833333333334,0.07258522555682936,5
Medical And Content,select_k_best,0.5934027777777777,0.047440645786974496,5
Medical And Content,rfe,0.5229166666666666,0.08744038699025855,5
Non Medical,select_k_best,0.6725694444444444,0.02875348039856852,5
Non Medical,pca_live,0.6503472222222222,0.04827825026140108,5
Non Medical,rfe,0.6163194444444444,0.08778097798754936,5
